Sequence ID,name,length,exp number of AAs in TMHs,exp number of AAs in TMHs in the first 60 AAs,predicted number of TMH,topology,Probability of presequence,Prediction,Cleavage site (processing enzyme),Net charge,Positions for TOM20 recognition motif (deliminated by comma),Position of amphypathic alpha-helix,BHHPPP,BPHBHH,HBHHBb,HBHHbB,HHBHHB,HHBPHB,HHBPHH,HHBPHP,HHHBBH,HHHBPH,HHHHBB,HHPBHH,HPBHHP,PHHBPH
YP_004893977.1,170 gene product [Salmonella phage PVP-SE1],135,20.54,0.00,1,i114-133o,0.356,No mitochondrial presequence,17(MPP),0.235,14-18,19-28-low,-,-,-,-,-,-,-,-,12-17,-,-,-,-,-
YP_004901685.1,nucleic acid binding protein [Mirabilis jalapa mottle virus],120,21.84,21.12,1,i39-61o,0.222,No mitochondrial presequence,9(MPP),0.111,"55-59,83-87,86-90",1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004934052.1,tail assembly protein [Escherichia phage HK639],199,45.81,0.04,2,i91-113o117-139i,0.967,Possessing mitochondrial presequence,23(MPP),0.217,"20-24,31-35",8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004934126.1,tail assembly protein [Escherichia phage HK75],202,45.38,0.01,2,i98-120o124-146i,0.872,Possessing mitochondrial presequence,25(MPP),0.08,"43-47,79-83",14-25-high,-,-,-,-,-,-,-,-,-,13-18,-,-,-,-
YP_004934183.1,hypothetical protein clP1_018 [Pediococcus virus cIP1],99,39.17,22.92,2,o15-37i58-77o,0.894,Possessing mitochondrial presequence,36(MPP),0.139,78-82,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004934215.1,hypothetical protein clP1_050 [Pediococcus virus cIP1],119,66.71,38.89,3,i9-28o43-60i65-87o,0.151,No mitochondrial presequence,29(MPP),0.069,62-66,1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004934219.1,tape measure protein [Pediococcus virus cIP1],1084,191.53,1.08,8,o491-513i525-547o557-579i586-608o618-640i647-669o684-706i713-732o,0.201,No mitochondrial presequence,43(MPP),0.093,,15-24-low,-,-,-,-,-,18-23,-,-,-,17-22,-,-,-,-
YP_004934329.1,g095 [Yersinia phage phiR1-37],169,39.54,23.27,2,i13-35o71-90i,0.196,No mitochondrial presequence,43(MPP),0.14,,7-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004934377.1,"terminase large subunit,helicase [Yersinia phage phiR1-37]",210,38.33,0.00,2,o98-115i122-144o,0.102,No mitochondrial presequence,16(MPP),-0.062,"19-23,22-26,37-41",19-28-low,-,-,-,-,"19-24,22-27",-,-,-,-,-,-,-,-,-
YP_004934720.1,phage tape measure protein [Gordonia phage GTE7],3046,471.19,0.00,20,o454-476i483-501o511-533i546-568o590-612i619-641o656-678i690-712o717-739i744-766o781-803i848-870o1472-1494i1515-1537o1557-1579i1586-1608o1646-1668i1675-1697o1731-1753i1774-1796o,0.731,Possessing mitochondrial presequence,"65(MPP), 66(Icp55*)",0.092,,21-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004934731.1,hypothetical protein GTE7_gp030 [Gordonia phage GTE7],156,81.56,24.86,4,i20-42o57-79i100-117o127-144i,0.714,Possessing mitochondrial presequence,28(MPP),0.143,"8-12,25-29",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004934770.1,hypothetical protein GTE7_gp069 [Gordonia phage GTE7],75,35.83,31.17,2,o20-38i45-67o,0.165,No mitochondrial presequence,40(MPP),0.025,,8-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004935851.1,unnamed protein product [Gordonia phage GRU1],1804,164.14,0.02,2,o191-213i220-242o,0.214,No mitochondrial presequence,56(MPP),0.107,"11-15,25-29",7-17-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_004935862.1,unnamed protein product [Gordonia phage GRU1],169,83.27,20.25,4,i13-35o60-82i89-108o123-142i,0.123,No mitochondrial presequence,39(MPP),0.051,85-89,1-10-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004935760.1,unnamed protein product [Gordonia phage GTE5],1801,195.76,0.05,2,o187-209i216-238o,0.212,No mitochondrial presequence,56(MPP),0.107,"11-15,25-29",7-17-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_004935918.1,unnamed protein product [Grapevine leafroll-associated virus 7],2309,48.50,0.00,2,o1630-1652i1691-1713o,0.236,No mitochondrial presequence,22(MPP),0.136,"61-65,64-68",19-30-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004956865.1,unnamed protein product [Parrot hepatitis B virus],375,73.67,0.00,3,i208-230o280-302i336-358o,0.18,No mitochondrial presequence,27(MPP),0.111,79-83,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004957590.1,hypothetical protein VPEG_00098 [Vibrio phage SIO-2],1377,82.87,0.00,4,o420-442i451-473o477-499i506-528o,0.26,No mitochondrial presequence,"49(MPP), 50(Icp55*)",0,16-20,18-27-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004957632.1,hypothetical protein [Helicobacter phage phiHP33],108,21.20,21.20,1,o10-29i,0.177,No mitochondrial presequence,12(MPP),0.167,6-10,6-15-high,-,-,7-12,-,6-11,-,-,-,-,-,-,-,-,-
YP_004957834.1,unnamed protein product [Escherichia virus CBA120],217,16.15,15.87,1,o10-32i,0.349,No mitochondrial presequence,"25(MPP), 33(Oct1)",0.16,7-11,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004958123.1,unnamed protein product [Pseudomonas phage OBP],129,45.67,23.16,2,i21-43o88-110i,0.221,No mitochondrial presequence,10(MPP),0.1,"7-11,12-16,85-89",6-15-high,-,-,-,-,-,-,-,-,10-15,-,-,-,-,-
YP_004958139.1,unnamed protein product [Pseudomonas phage OBP],81,39.96,30.95,2,i16-38o53-68i,0.173,No mitochondrial presequence,71(MPP),0.056,,15-24-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_004958158.1,unnamed protein product [Pseudomonas phage OBP],96,18.50,18.50,1,i7-24o,0.489,Possessing mitochondrial presequence,"30(MPP), 31(Icp55*)",0.2,37-41,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005087031.1,unnamed protein product [Rhodococcus phage RRH1],661,57.74,36.68,3,i21-40o44-63i237-254o,0.14,No mitochondrial presequence,21(MPP),0.143,58-62,19-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005087246.1,unnamed protein product [Rhodococcus phage REQ3],142,69.20,23.69,3,i41-63o68-87i99-121o,0.108,No mitochondrial presequence,18(MPP),0.167,"2-6,96-100",1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005098000.1,unnamed protein product [Salmonella phage SPN1S],95,42.44,42.32,2,i12-34o39-58i,0.252,No mitochondrial presequence,12(MPP),0.167,"5-9,9-13,21-25",5-14-high,-,-,-,6-11,-,-,-,-,-,-,-,-,-,-
YP_005098004.1,unnamed protein product [Salmonella phage SPN1S],160,19.51,19.07,1,i13-31o,0.23,No mitochondrial presequence,28(MPP),0.107,5-9,5-14-high,-,-,-,-,-,-,9-14,-,-,8-13,-,-,-,-
YP_005098092.1,unnamed protein product [Pseudomonas phage phi297],122,22.42,22.42,1,i7-29o,0.5,Possessing mitochondrial presequence,31(MPP),0.065,"66-70,78-82,96-100",5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005098202.1,TerL large terminase subunit-like protein [Pseudomonas phage Bf7],599,18.58,18.09,1,i20-39o,0.108,No mitochondrial presequence,61(MPP),0.033,,13-22-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005098235.1,unnamed protein product [Pseudomonas virus PMG1],122,22.53,22.53,1,i7-29o,0.418,Possessing mitochondrial presequence,31(MPP),0.065,96-100,5-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005098293.1,unnamed protein product [Pseudomonas virus PMG1],94,59.71,40.02,3,o4-23i35-54o64-81i,0.224,No mitochondrial presequence,33(MPP),0.152,"17-21,87-91,90-94",8-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005098337.1,unnamed protein product [Synechococcus phage S-CBS4],207,48.13,0.00,2,o91-113i126-148o,0.135,No mitochondrial presequence,20(MPP),0.15,"72-76,88-92",5-14-high,-,16-21,-,-,-,-,-,-,-,-,-,-,-,-
YP_005296327.1,unnamed protein product [Cotia virus SPAn232],252,20.92,20.91,1,i21-43o,0.283,No mitochondrial presequence,46(MPP),0.13,"46-50,89-93",12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_005296329.1,unnamed protein product [Cotia virus SPAn232],179,22.40,20.13,1,i19-36o,0.119,No mitochondrial presequence,7(MPP),0.286,"54-58,74-78,89-93",21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_536433.1,D3R [Monkeypox virus Zaire-96-I-16],142,23.60,0.92,1,o101-123i,0.269,No mitochondrial presequence,"17(MPP), 18(Icp55*)",0.118,"41-45,80-84",14-23-low,-,-,-,-,-,-,14-19,-,-,13-18,-,-,-,-
NP_536464.1,C11L [Monkeypox virus Zaire-96-I-16],343,39.57,15.95,2,i21-43o311-333i,0.134,No mitochondrial presequence,34(MPP),0.235,31-35,9-18-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_536487.1,Q1L [Monkeypox virus Zaire-96-I-16],665,17.62,0.00,1,o573-595i,0.303,No mitochondrial presequence,10(MPP),0.1,"8-12,12-16,71-75,84-88",12-21-high,-,-,-,-,-,-,-,-,-,-,-,11-16,12-17,-
NP_536573.1,A36R [Monkeypox virus Zaire-96-I-16],168,21.78,21.76,1,o15-37i,0.913,Possessing mitochondrial presequence,"14(MPP), 15(Icp55*)",0.357,,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006383562.1,core protein precursor pX [Goose adenovirus 4],185,23.02,0.00,1,o134-156i,0.17,No mitochondrial presequence,16(MPP),0.312,,5-15-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006906224.1,hypothetical protein phiHau3_49 [Streptomyces phage phiHau3],38,22.93,22.93,1,i13-35o,0.565,Possessing mitochondrial presequence,12(MPP),0.333,"2-6,5-9,9-13",7-16-high,-,-,-,6-11,-,-,-,-,-,-,-,-,-,-
YP_006906291.1,putative holin [Pectobacterium phage My1],208,34.41,22.40,1,o15-37i,0.251,No mitochondrial presequence,"40(MPP), 48(Oct1)",0.025,"12-16,37-41",10-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006906353.1,hypothetical protein My1_101 [Pectobacterium phage My1],90,23.11,23.11,1,o15-37i,0.156,No mitochondrial presequence,70(MPP),0.086,63-67,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,2-7
YP_006906651.1,putative phage tail protein [Salmonella phage SSU5],196,21.40,0.01,1,i100-122o,0.128,No mitochondrial presequence,20(MPP),0.05,,13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006906668.1,hypothetical protein SSU5_036 [Salmonella phage SSU5],136,41.98,31.55,2,i21-43o53-70i,0.115,No mitochondrial presequence,26(MPP),0.038,"11-15,39-43",9-18-high,-,-,-,-,-,-,-,-,-,-,-,10-15,-,-
YP_006906859.1,hypothetical protein [Escherichia phage P13374],68,22.42,22.42,1,i23-45o,0.825,Possessing mitochondrial presequence,52(MPP),0.212,"20-24,29-33,49-53",2-11-high,-,-,-,-,-,-,-,-,1-6,-,-,-,-,-
YP_006907221.1,spdB2-like protein [Streptomyce phage TG1],230,85.06,37.97,4,i13-35o45-67i80-99o109-131i,0.129,No mitochondrial presequence,84(MPP),0.071,81-85,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006908535.1,ODV-E56 [Epinotia aporema granulovirus],354,40.70,0.01,2,i153-175o322-344i,0.39,Possessing mitochondrial presequence,11(MPP),0.182,,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006908572.1,Thymidylate Kinase [Epinotia aporema granulovirus],224,20.32,0.00,1,o188-210i,0.15,No mitochondrial presequence,22(MPP),0.045,"19-23,60-64,89-93",17-26-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006908578.1,fibrobast growth factor 1 [Epinotia aporema granulovirus],225,21.47,20.81,1,i2-24o,0.133,No mitochondrial presequence,21(MPP),0.048,25-29,3-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006905847.1,polyprotein [Rose yellow mosaic virus],3067,44.08,0.00,2,o1118-1140i1793-1815o,0.15,No mitochondrial presequence,33(MPP),0.061,,10-21-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_047408.1,GP2 glycosylated envelope protein [Porcine reproductive and respiratory syndrome virus],256,47.62,17.19,1,o210-232i,0.125,No mitochondrial presequence,74(MPP),0.095,10-14,8-17-high,-,-,-,-,-,-,-,-,-,-,-,9-14,10-15,-
YP_006986692.1,hypothetical protein ACG-C40_0136 [Escherichia phage vB_EcoM_ACG-C40],61,41.02,41.02,2,o10-32i37-54o,0.188,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_006990256.1,hypothetical protein SPN19_009 [Salmonella virus SPN19],66,18.78,18.69,1,o4-26i,0.276,No mitochondrial presequence,"33(MPP), 34(Icp55*)",0.121,,17-26-high,-,-,-,-,-,-,-,-,23-28,-,-,-,-,-
YP_007002000.1,hypothetical protein [Escherichia phage TL-2011b],368,216.69,35.85,10,i20-42o46-68i89-107o140-159i166-188o198-217i224-246o256-278i285-307o322-344i,0.156,No mitochondrial presequence,"16(MPP), 17(Icp55*)",0.125,"41-45,83-87,86-90",5-14-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007002007.1,hypothetical protein [Escherichia phage TL-2011b],63,21.62,21.62,1,i20-42o,0.445,Possessing mitochondrial presequence,33(MPP),0.212,"17-21,30-34",11-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007002989.1,hypothetical protein [Lactobacillus phage JCL1032],141,72.63,27.94,3,i19-41o56-73i85-107o,0.459,Possessing mitochondrial presequence,84(MPP),0.024,81-85,11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007003225.1,lysin [Lactobacillus phage LF1],415,17.64,17.47,1,i13-32o,0.249,No mitochondrial presequence,10(MPP),0.4,,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007003458.1,hypothetical protein [Bacillus phage SP-10],136,39.81,21.26,2,i38-60o92-114i,0.238,No mitochondrial presequence,15(MPP),0.133,"79-83,89-93",8-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007003603.1,hypothetical protein [Riemerella phage RAP44],110,37.76,31.10,2,i7-24o50-67i,0.268,No mitochondrial presequence,"12(MPP), 13(Icp55*)",0.167,4-8,8-17-low,-,-,-,-,-,-,-,-,-,-,21-26,3-8,-,-
YP_007004519.1,conserved hypothetical protein [Escherichia phage ime09],61,41.02,41.02,2,o10-32i37-54o,0.188,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_007004883.1,hypothetical protein [Escherichia phage wV7],61,41.02,41.02,2,o10-32i37-54o,0.188,No mitochondrial presequence,9(MPP),0.222,,5-14-low,-,-,-,-,-,-,6-11,-,-,-,-,-,-,-
YP_007005022.1,hypothetical protein phi13O_gp7 [Clostridium phage phiCP13O],45,22.35,22.35,1,i13-35o,0.181,No mitochondrial presequence,11(MPP),0.364,5-9,4-13-high,-,-,-,-,-,-,8-13,-,-,-,-,-,-,-
YP_007005039.1,phage-related minor tail protein [Clostridium phage phiCP13O],473,81.49,0.00,3,i164-183o187-206i219-241o,0.451,Possessing mitochondrial presequence,9(MPP),0,"21-25,49-53",19-28-high,-,-,-,-,21-26,-,6-11,-,-,-,-,-,-,5-10
YP_007005183.1,putative membrane protein [Campylobacter virus CP21],365,23.68,0.00,1,i141-163o,0.397,Possessing mitochondrial presequence,5(MPP),0.2,"14-18,28-32,33-37,54-58,65-69,73-77",14-25-high,-,4-9,-,-,-,2-7,-,-,-,1-6,-,-,-,-
YP_007005247.1,putative membrane protein [Campylobacter virus CP21],70,24.34,16.15,1,i50-69o,0.133,No mitochondrial presequence,21(MPP),0.19,"18-22,42-46",6-16-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007005333.1,hypothetical protein phi34O_gp6 [Clostridium phage phiCP34O],45,22.35,22.35,1,i13-35o,0.181,No mitochondrial presequence,11(MPP),0.364,5-9,4-13-high,-,-,-,-,-,-,8-13,-,-,-,-,-,-,-
YP_007005348.1,phage-related minor tail protein [Clostridium phage phiCP34O],473,72.99,0.00,2,i173-195o219-241i,0.451,Possessing mitochondrial presequence,9(MPP),0,"21-25,49-53",19-28-high,-,-,-,-,21-26,-,6-11,-,-,-,-,-,-,5-10
YP_007005424.1,tail assembly protein [Cronobacter virus ESP29491],199,45.61,0.01,2,i93-115o120-142i,0.275,No mitochondrial presequence,"34(MPP), 35(Icp55*)",0.118,"20-24,31-35,72-76",8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007005692.1,hypothetical protein [Helicobacter phage 1961P],106,21.09,21.09,1,o4-26i,0.104,No mitochondrial presequence,9(MPP),0.111,"6-10,79-83",2-11-high,-,-,7-12,-,6-11,-,-,-,-,-,-,-,-,-
YP_007007038.1,endolysin [Enterobacter phage Enc34],242,34.40,0.19,2,i171-193o213-235i,0.339,No mitochondrial presequence,31(MPP),0.097,77-81,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007007066.1,hypothetical protein [Enterobacter phage Enc34],67,17.75,17.60,1,o4-26i,0.141,No mitochondrial presequence,"33(MPP), 34(Icp55*)",0.091,21-25,17-26-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007007361.1,hypothetical protein RaK2_00206 [Enterobacteria phage vB_KleM-RaK2],79,42.23,25.66,2,i24-46o59-76i,0.227,No mitochondrial presequence,63(MPP),0.016,,8-17-high,-,-,-,-,-,-,-,12-17,-,11-16,-,-,-,-
YP_007007472.1,hypothetical protein RaK2_00317 [Enterobacteria phage vB_KleM-RaK2],198,19.51,19.15,1,i21-40o,0.171,No mitochondrial presequence,20(MPP),0.4,,12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006986845.1,hypothetical protein GAP31_012 [Cronobacter phage vB_CsaM_GAP31],60,39.95,39.95,2,i2-18o33-55i,0.11,No mitochondrial presequence,27(MPP),0.111,51-55,17-26-high,-,-,-,-,-,-,-,-,16-21,-,15-20,-,-,-
YP_006987066.1,putative membrane protein [Cronobacter phage vB_CsaM_GAP31],89,30.14,21.88,2,i27-45o55-77i,0.165,No mitochondrial presequence,75(MPP),0.067,"5-9,67-71",5-14-high,-,-,-,-,5-10,-,1-6,-,-,-,-,-,-,-
YP_006990247.1,hypothetical protein [Stenotrophomonas phage IME15],50,21.40,21.40,1,i13-35o,0.107,No mitochondrial presequence,17(MPP),0.235,1-5,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006990609.1,hypothetical protein IME11_4 [Escherichia phage IME11],86,40.86,25.92,2,i21-40o55-77i,0.138,No mitochondrial presequence,50(MPP),0.14,71-75,10-19-low,-,17-22,-,-,-,-,-,-,-,-,-,-,-,-
YP_007010207.1,hypothetical protein CC2_181 [Aeromonas phage CC2],71,42.88,37.12,2,o10-32i45-64o,0.176,No mitochondrial presequence,49(MPP),0.041,"7-11,10-14,46-50",3-12-high,-,-,-,-,7-12,-,-,-,-,-,-,-,-,-
YP_007010431.1,hypothetical protein CC2_405 [Aeromonas phage CC2],144,48.30,23.26,2,i32-54o74-96i,0.11,No mitochondrial presequence,12(MPP),0.167,,11-20-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007010441.1,hypothetical protein CC2_415 [Aeromonas phage CC2],83,22.69,22.69,1,i20-42o,0.183,No mitochondrial presequence,14(MPP),0.143,15-19,11-20-high,-,-,-,-,-,-,-,-,10-15,-,-,-,15-20,-
YP_007010549.1,putative holin protein [Salinivibrio phage CW02],144,44.17,22.02,2,i21-43o118-140i,0.578,Possessing mitochondrial presequence,20(MPP),0.15,2-6,15-24-high,-,-,-,-,-,-,-,-,-,-,-,1-6,2-7,-
YP_007010656.1,hypothetical protein PP1_013 [Pectobacterium phage PP1],85,19.54,19.54,1,i21-43o,0.103,No mitochondrial presequence,15(MPP),0.533,6-10,6-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007010884.1,putative phage protein [Aeromonas phage Aes508],139,50.56,23.06,2,i31-53o68-99i,0.13,No mitochondrial presequence,12(MPP),0.25,28-32,11-20-high,-,-,-,-,-,-,-,12-17,-,-,-,-,-,-
YP_007011006.1,putative tail assembly protein I [Salmonella phage SPN3UB],175,24.01,0.03,1,o85-107i,0.89,Possessing mitochondrial presequence,13(MPP),0.231,"3-7,10-14,38-42",6-17-high,-,-,-,-,-,-,-,13-18,-,-,-,-,-,-
YP_007011137.1,hypothetical protein SC2_gp240 [Liberibacter phage SC2],155,20.42,0.00,1,i130-149o,0.235,No mitochondrial presequence,18(MPP),0.167,,21-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_038982.1,hypothetical protein FPV019 [Fowlpox virus],104,17.86,16.74,1,i20-39o,0.137,No mitochondrial presequence,10(MPP),0.2,"20-24,24-28,76-80",20-29-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_039058.1,hypothetical protein FPV095 [Fowlpox virus],272,48.91,0.78,2,o118-140i233-255o,0.134,No mitochondrial presequence,65(MPP),-0.015,,6-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_039092.1,hypothetical protein FPV129 [Fowlpox virus],96,52.01,27.29,2,o35-57i69-91o,0.22,No mitochondrial presequence,30(MPP),0,"27-31,32-36,79-83",1-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_039174.1,EGF-like protein vaccinia C11R [Fowlpox virus],125,22.05,22.05,1,i23-45o,0.155,No mitochondrial presequence,11(MPP),0,,12-21-high,-,-,-,-,-,-,-,14-19,-,-,-,-,-,13-18
NP_051733.1,M019L [Myxoma virus],215,20.82,0.62,1,o180-199i,0.356,No mitochondrial presequence,18(MPP),0.056,15-19,14-23-high,-,-,-,-,-,-,-,18-23,13-18,-,-,-,-,-
NP_051766.1,m52L [Myxoma virus],350,22.05,0.60,1,i107-129o,0.225,No mitochondrial presequence,95(MPP),0.021,"13-17,69-73,92-96",13-25-high,15-20,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_051834.1,m120L [Myxoma virus],255,14.38,14.37,1,i21-43o,0.512,Possessing mitochondrial presequence,12(MPP),0.25,"46-50,89-93",12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_051836.1,m122R [Myxoma virus],172,25.84,20.67,1,o15-37i,0.441,Possessing mitochondrial presequence,38(MPP),0.158,,1-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_570162.1,SPV002 hypothetical protein [Swinepox virus],170,45.87,32.49,2,i12-34o49-71i,0.117,No mitochondrial presequence,21(MPP),0.095,"26-30,48-52,59-63,78-82",10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_570172.1,"SPV012 putative integral membrane protein, apoptosis regulator [Swinepox virus]",167,19.81,0.03,1,i147-165o,0.107,No mitochondrial presequence,33(MPP),0.182,30-34,11-20-high,-,-,-,-,-,-,10-15,-,-,9-14,-,-,-,-
NP_570204.1,SPV044 hypothetical protein [Swinepox virus],385,38.51,0.05,2,i85-102o162-184i,0.15,No mitochondrial presequence,19(MPP),0.263,"37-41,70-74,78-82",1-12-high,-,-,-,-,-,-,-,4-9,-,-,-,-,-,3-8
NP_570214.1,SPV054 putative virion core protein [Swinepox virus],381,22.58,0.01,1,i106-128o,0.311,No mitochondrial presequence,"25(MPP), 26(Icp55*)",0.12,"69-73,92-96",9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_570278.1,SPV118 DNA packaging protein [Swinepox virus],252,21.39,21.38,1,i21-43o,0.884,Possessing mitochondrial presequence,13(MPP),0.308,"46-50,89-93",7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_570280.1,SPV120 hypothetical protein [Swinepox virus],169,23.61,22.35,1,i13-35o,0.738,Possessing mitochondrial presequence,14(MPP),0.357,,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_570309.1,SPV149 hypothetical protein [Swinepox virus],170,45.87,32.49,2,i12-34o49-71i,0.117,No mitochondrial presequence,21(MPP),0.095,"26-30,48-52,59-63,78-82",10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_671685.1,IFN-alpha/beta binding protein C12R [Ectromelia virus],358,20.36,20.31,1,i12-31o,0.13,No mitochondrial presequence,12(MPP),0.25,9-13,1-13-high,-,-,-,-,-,-,25-30,-,-,24-29,-,-,-,-
NP_671570.1,EVM052 [Ectromelia virus],666,16.93,0.00,1,o574-596i,0.303,No mitochondrial presequence,10(MPP),0.1,"8-12,12-16,71-75,84-88",12-21-high,-,-,-,-,-,-,-,-,-,-,-,11-16,12-17,-
NP_671653.1,EVM134 [Ectromelia virus],269,18.90,18.88,1,i21-43o,0.256,No mitochondrial presequence,21(MPP),0.095,"46-50,89-93",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_671655.1,EVM136 [Ectromelia virus],168,21.82,21.76,1,o15-37i,0.822,Possessing mitochondrial presequence,12(MPP),0.25,,1-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_717318.1,secreted epidermal growth factor-like protein [Taterapox virus],139,23.02,0.66,1,o100-122i,0.351,No mitochondrial presequence,"17(MPP), 18(Icp55*)",0.118,"41-45,80-84",14-23-low,-,-,-,-,-,-,14-19,-,-,13-18,-,-,-,-
YP_717322.1,hypothetical protein TATV_DAH68_015 [Taterapox virus],65,21.17,21.04,1,o10-32i,0.104,No mitochondrial presequence,"11(MPP), 12(Icp55*)",0.091,8-12,6-15-high,-,-,-,-,-,-,-,-,-,-,-,7-12,8-13,-
YP_717463.1,ATPase [Taterapox virus],270,18.90,18.89,1,i21-43o,0.241,No mitochondrial presequence,21(MPP),0.095,"46-50,89-93",13-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_717465.1,IEV and EEV outer membrane lectin-like glycoprotein [Taterapox virus],168,21.79,21.76,1,o15-37i,0.832,Possessing mitochondrial presequence,12(MPP),0.25,,1-15-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_717474.1,type-I membrane glycoprotein [Taterapox virus],195,44.08,20.61,2,i5-27o167-189i,0.109,No mitochondrial presequence,27(MPP),0.074,"2-6,41-45",2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_570398.1,CMLV008 [Camelpox virus],115,32.32,11.23,1,i89-111o,0.454,Possessing mitochondrial presequence,48(MPP),0.104,"46-50,74-78",20-29-high,-,-,-,-,-,-,-,11-16,-,-,-,-,-,10-15
NP_570400.1,CMLV010 [Camelpox virus],139,22.76,0.42,1,o100-122i,0.397,Possessing mitochondrial presequence,"17(MPP), 18(Icp55*)",0.118,"41-45,80-84",14-23-low,-,-,-,-,-,-,14-19,-,-,13-18,-,-,-,-
NP_570430.1,CMLV040 [Camelpox virus],349,39.16,14.72,1,o314-336i,0.258,No mitochondrial presequence,34(MPP),0.235,31-35,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
